WGS84_latitude,WGS84_longitude,Database_number,temperature_in_c,rock_type,pH_gauss,redox_potential_in_mV_gauss,total_dissolved_solids_in_mmol/L_log_gauss,O2_in_mmol/L_log_gauss,Na_in_mmol/L_log_gauss,Mg_in_mmol/L_log_gauss,Ca_in_mmol/L_log_gauss,Cl_in_mmol/L_log_gauss,SO4_in_mmol/L_log_gauss,HCO3_in_mmol/L_log_gauss,Li_in_mmol/L_log_gauss,K_in_mmol/L_log_gauss,Sr_in_umol/L_log_gauss,NH4_in_umol/L_log_gauss,Fe_in_mmol/L_log_gauss,Mn_in_mmol/L_log_gauss,F_in_umol/L_log_gauss,NO3_in_mmol/L_log_gauss,H2SiO3_in_umol/L_log_gauss,HS_in_mmol/L_gauss
46.2077,7.011839999999999,5,55.0,Sand and Gravel,,,-1.0752794593884376,,-1.2753024746021535,-0.20448693137897495,0.04671240211913549,-1.0563855529243718,0.4696030591824158,-0.5894557978497783,,-1.2101372641333108,,,,,,,,
46.38643,7.64338,5,45.5,Gypsum,0.11694087484273694,,-0.5679174333315333,,-1.3912020553624096,0.3123760433228348,0.5898318722613918,-1.689670076503778,1.3110545264733833,-1.1424831327370568,-1.061884134877072,-1.5135889315270525,,,,,0.6518243142461582,,,
46.38173,7.632639999999999,5,45.9,Sand and Gravel,-0.7233425303259227,,-0.5467378413944745,,-1.3402004659340858,0.3224730325539567,0.6102979730826773,-1.569499023944481,1.3443984630058408,-1.057485014382846,-1.061884134877072,-2.1566745536267726,,,,,0.6768541480424047,,,
46.3815,7.63134,5,37.3,Sand and Gravel,-0.12199509496959789,,-0.5449777542531669,,-1.3139125929865054,0.3365651204823766,0.6137942228007106,-1.4979965988053379,1.3451935241106945,-1.1424831327370568,-1.061884134877072,-1.8803524454038238,,,,,0.5775565284075048,,,
46.38397,7.6346,5,43.6,Sand and Gravel,-0.7347981032164006,,-0.5789101677318412,,-1.3789632584207983,0.2983562728875775,0.5820090863157499,-1.6347469679133146,1.2953723813914635,-1.1521748037349773,-0.9319713123431904,-2.273052389761747,,,,,0.49497095846643646,,,
46.37746,7.62547,5,44.0,Sand and Gravel,0.33617787423419104,,-0.6046227299052334,,-1.3614354565301778,0.3220135886876264,0.5477824233481706,-1.4865370019712372,1.2555886299817332,-1.1070593519207448,-0.9319713123431904,-1.5852023267064201,,,,,0.45842567858476513,,,
46.37881,7.63003,5,51.0,Sand and Gravel,-0.5525368703489748,,-0.5764293359295332,,-1.3912020553624096,0.30579628164909695,0.58275458773288,-1.6640817375143429,1.3029512656202749,-1.1610370934028502,-1.061884134877072,-1.5459273181166064,,,,,0.49497095846643646,,,
46.18258,7.187,5,24.2,Gypsum,0.2574948417331492,,-0.8630648311272939,,-1.7002860845582402,0.12113307268521527,0.31896935678053556,-2.143139953895435,0.893049240915503,-0.7918838091374322,-1.1619759226681268,-2.3652476466815218,,,,,0.006272884668573728,,,
46.71674,9.20027,5,15.2,Limestone,-1.1001396710768057,,-0.34003785654350677,,-0.6923406718176404,0.31764959351109384,0.6450185637446602,-0.7953216439546776,1.1983492138042415,0.5833888356360396,,-0.34149265585889366,,,,,,,,
45.7630254,6.985010000000001,5,36.0,Andesite,-0.4033555430561561,,-0.7970492120530768,,-0.9358520864464077,-0.14208449051289607,0.1752784285930206,-0.8352278336175966,0.43072729929545744,0.09675252955038427,-1.061884134877072,-1.0867816628380542,,,,,-0.6014391227954631,,,
46.7729,9.41885,5,14.7,Gypsum,-0.924251562356628,,-0.4819873351894455,,-0.7023154143045922,0.15563897958435766,0.3473052881913091,-1.0299733390557002,0.3123760433228348,0.9139493043063485,-0.7596773891978573,-0.5760748876486937,,,,,-0.28091084964604396,,,
46.76984,9.42666,5,17.2,Sand and Gravel,-0.6363865203698571,,-0.6642783934165903,,-0.9210474537597974,0.22262956564382042,0.19976198238052909,-1.4319708910352655,-0.06779861544123571,0.4809704031500225,,-0.8625437144150381,,,,,-0.9694267073728421,,,
