WGS84_latitude,WGS84_longitude,total_dissolved_solids_in_mmol/L_log_gauss,Na_in_mmol/L_log_gauss,Mg_in_mmol/L_log_gauss,Ca_in_mmol/L_log_gauss,Cl_in_mmol/L_log_gauss,SO4_in_mmol/L_log_gauss,HCO3_in_mmol/L_log_gauss,Li_in_mmol/L_log_gauss,K_in_mmol/L_log_gauss,Sr_in_umol/L_log_gauss,Fe_in_mmol/L_log_gauss,F_in_umol/L_log_gauss
42.254536,-108.443,-1.2002108,-1.1592759,-0.9085197,-1.0154701,-1.1154711,-0.123330936,0.45996025,-0.014365441,-0.21359906,-0.0007373745,-0.021552738,-0.031101303
36.876625,-100.634254,0.08155697,0.09794708,0.25730994,0.16540964,0.060793612,0.82929236,0.19338775,0.0012439549,0.04551991,-0.01226068,-0.11203644,-0.022863226
41.45476,-109.90831,-1.787264,-1.7219868,-1.5845797,-1.5486913,-1.6538854,-0.5649703,0.054563846,-0.048663586,-1.2282426,-0.004528721,-0.13164899,0.07679674
28.714178,-94.08051,-0.13183413,-0.10513477,-0.3794691,-0.1692808,-0.09035192,-1.7234976,0.034942508,-0.0017412446,0.018557288,0.04819774,-0.09904455,-0.018163979
39.560658,-104.37869,-0.11242751,-0.06683923,-0.31421608,-0.46016142,-0.22770151,0.6651889,1.418953,-0.005289388,-0.01258838,-0.020128792,0.20313434,-0.023643574
34.285995,-99.696304,-0.3126982,-0.30202594,-0.39939767,-0.36650395,-0.31216303,-0.08181654,0.21774213,-0.04694541,0.022037812,0.0040633413,-0.05275168,-0.0400057
37.013264,-97.10635,0.9274036,0.9302508,1.2033705,1.1281257,0.9831748,-0.032680187,-1.224699,-0.013599082,0.026551656,0.0029212218,0.06601429,-0.020057436
37.451458,-103.21787,-0.5886036,-0.5547641,-0.99013567,-0.9235264,-0.5672508,-0.9347645,0.82908285,-0.04350357,-0.06389778,-0.043508254,-0.16251838,-0.01759937
34.846348,-98.84947,-0.6853754,-0.6298429,-0.9831402,-0.77206826,-0.5253111,-1.7544267,0.24588074,0.03971972,-0.14128797,0.11672595,-0.14709263,-0.025961569
37.288643,-99.204185,0.3072252,0.33825764,0.4972276,0.4022837,0.32127276,0.5396948,-0.3393661,-0.0027200484,0.030681241,-0.0004547203,-0.0102110235,-0.025040098
49.102566,-105.07147,1.8205092,2.008249,0.5122454,1.1439934,1.7044228,0.29824847,-0.27351,-0.0538736,1.2532392,-0.023474012,-0.25460035,-0.01761852
46.03505,-24.418451,-0.7119,-0.82455766,-0.2822369,-0.23949671,-0.7719903,0.8046781,0.2849164,-0.05243064,0.044231825,-0.00324034,0.1514052,0.0044205296
42.842674,-107.56789,-0.8193232,-0.79892284,-0.37483913,-0.30293024,-0.9648156,1.4292954,-0.002568693,-0.01022141,0.064327426,0.0051048286,-0.015382,-0.028829776
34.954494,-100.83012,-0.53663,-0.48955607,-0.78359663,-0.7609381,-0.43809304,-1.1967534,0.473672,-0.028944813,-0.052258354,-0.01665983,0.16809094,-0.029654896
32.498096,-96.199,0.3050122,0.38090953,0.28574836,0.30909362,0.31720066,-0.5076913,-0.25779858,0.0018701287,0.027371608,0.026899043,-0.013728439,-0.018474938
43.28393,-100.635254,1.4743489,1.5778534,1.0340749,1.1823912,1.4402317,0.23879904,-0.71635026,-0.013418138,0.10107734,-0.025095057,-0.09454199,-0.020277804
40.116104,-104.59542,-0.685278,-0.6803637,-0.48362643,-0.5286765,-0.6771831,0.41184035,0.3945497,-0.0064896625,-0.026115336,-0.0147167565,-0.025595674,-0.024725923
33.58487,-99.37989,-0.13227609,-0.08123305,-0.47156438,-0.46947762,-0.14918189,-0.7813554,0.9059568,-0.008425508,-0.00045445445,0.0044994983,0.015848506,-0.018232051
33.431816,-98.23575,0.08196128,0.14625642,0.026471835,-0.0051990906,0.09526279,-0.10430607,0.39577293,-0.0072227675,0.024704881,0.0071980143,-0.0018794428,-0.02067404
36.2432,-100.95653,0.01858391,0.036696978,0.09718916,0.056123026,0.018956646,0.5937335,0.31597304,0.021759605,0.060382247,8.6838234e-05,0.019353427,-0.02121949
41.88894,-100.87852,1.098347,1.2526919,0.56660134,0.7185646,1.0333571,0.48242772,-0.28398958,-0.008483357,-0.004150757,-0.0012977885,0.001329336,-0.021772996
